x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
1.855000000000000027e-06,5.751195521125168128e+18,8.436779429201715200e+18,1.064953199877502157e+19,1.092198979985030554e+19
1.861999999999999918e-06,5.762938475637085184e+18,8.455989140827839488e+18,1.067504795383418880e+19,1.094828326442055475e+19
1.869000000000000020e-06,5.774621316457217024e+18,8.475111348541506560e+18,1.070045446336668058e+19,1.097446458673911808e+19
1.875999999999999911e-06,5.786244173020926976e+18,8.494146121675559936e+18,1.072575153522471117e+19,1.100053376701115597e+19
1.883000000000000013e-06,5.797807174199378944e+18,8.513093529314935808e+18,1.075093917723306803e+19,1.102649080544110797e+19
1.889999999999999904e-06,5.809310448299508736e+18,8.531953640295995392e+18,1.077601739718907494e+19,1.105233570223269274e+19
1.897000000000000006e-06,5.820754123063915520e+18,8.550726523205940224e+18,1.080098620286246912e+19,1.107806845758890189e+19
1.903999999999999897e-06,5.832138325670839296e+18,8.569412246382143488e+18,1.082584560199539712e+19,1.110368907171201638e+19
1.910999999999999999e-06,5.843463182734082048e+18,8.588010877911556096e+18,1.085059560230222234e+19,1.112919754480359424e+19
1.918000000000000102e-06,5.854728820302978048e+18,8.606522485630069760e+18,1.087523621146957414e+19,1.115459387706445824e+19
1.924999999999999781e-06,5.865935363862308864e+18,8.624947137121895424e+18,1.089976743715619430e+19,1.117987806869469594e+19
1.931999999999999883e-06,5.877082938332322816e+18,8.643284899718977536e+18,1.092418928699287552e+19,1.120505011989369446e+19
1.938999999999999985e-06,5.888171668068625408e+18,8.661535840500317184e+18,1.094850176858241024e+19,1.123011003086007296e+19
1.946000000000000088e-06,5.899201676862206976e+18,8.679700026291445760e+18,1.097270488949948621e+19,1.125505780179174810e+19
1.952999999999999767e-06,5.910173087939376128e+18,8.697777523663734784e+18,1.099679865729060864e+19,1.127989343288587469e+19
1.959999999999999869e-06,5.921086023961755648e+18,8.715768398933857280e+18,1.102078307947408998e+19,1.130461692433888461e+19
1.966999999999999971e-06,5.931940607026255872e+18,8.733672718163130368e+18,1.104465816353987584e+19,1.132922827634647450e+19
1.974000000000000074e-06,5.942736958665051136e+18,8.751490547156959232e+18,1.106842391694954086e+19,1.135372748910358118e+19
1.980999999999999753e-06,5.953475199845578752e+18,8.769221951464220672e+18,1.109208034713620890e+19,1.137811456280441242e+19
1.987999999999999855e-06,5.964155450970522624e+18,8.786866996376658944e+18,1.111562746150444032e+19,1.140238949764243456e+19
1.994999999999999957e-06,5.974777831877817344e+18,8.804425746928316416e+18,1.113906526743020749e+19,1.142655229381033165e+19
2.002000000000000060e-06,5.985342461840638976e+18,8.821898267894933504e+18,1.116239377226079232e+19,1.145060295150009754e+19
2.008999999999999739e-06,5.995849459567406080e+18,8.839284623793345536e+18,1.118561298331472691e+19,1.147454147090292122e+19
2.015999999999999841e-06,6.006298943201812480e+18,8.856584878880946176e+18,1.120872290788168499e+19,1.149836785220925850e+19
2.022999999999999943e-06,6.016691030322788352e+18,8.873799097155043328e+18,1.123172355322251469e+19,1.152208209560882381e+19
2.030000000000000046e-06,6.027025837944576000e+18,8.890927342352343040e+18,1.125461492656899277e+19,1.154568420129055744e+19
2.037000000000000148e-06,6.037303482516696064e+18,8.907969677948323840e+18,1.127739703512394957e+19,1.156917416944263782e+19
2.043999999999999827e-06,6.047524079923989504e+18,8.924926167156703232e+18,1.130006988606101914e+19,1.159255200025249587e+19
2.050999999999999929e-06,6.057687745486657536e+18,8.941796872928829440e+18,1.132263348652471501e+19,1.161581769390679654e+19
2.058000000000000032e-06,6.067794593960253440e+18,8.958581857953161216e+18,1.134508784363027046e+19,1.163897125059142861e+19
